question,document
Why does my notebook say OPENAI_API_KEY is missing even though I put it in .env?,86d99bbf21
"Do I need python-dotenv to load my API key in Jupyter, and how do I use it?",86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client in the notebook?,86d99bbf21
What should I check if the key in my .env file still isn't being picked up?,86d99bbf21
Is the environment variable name supposed to be exactly OPENAI_API_KEY?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python for this course?,233dabe430
What's the right way to use python-dotenv to read OPENAI_API_KEY and other keys?,233dabe430
Should I add .env to .gitignore before putting my secret keys there?,233dabe430
"How can I safely store OpenAI, Groq, or Gemini keys locally without committing them?",233dabe430
What does the code look like for loading environment variables from .env with os.getenv()?,233dabe430
"Can I switch to a different LLM provider for the homework, or do I have to use the recommended one?",ee43413718
"Is the suggested model in the assignment required, or just an option I can replace?",ee43413718
What other providers can I use instead of the default one for the RAG homework?,ee43413718
"Do I need a paid API account to finish the homework, or can I use free/local alternatives?",ee43413718
"If I use another model, what parts of the code usually need to change, like tool format or tokenization?",ee43413718
How can I call Gemini from the Module 1 notebook using the OpenAI-style endpoint?,0ae5c221b9
What do I need to set up before I can run Gemini models in the RAG notebook?,0ae5c221b9
Why is the Gemini setup using an OpenAI client and not the regular Google SDK?,0ae5c221b9
What changes do I need in the notebook when switching from Responses API examples to chat completions for Gemini?,0ae5c221b9
How do I load my Gemini API key from a .env file and point the client to Google’s OpenAI-compatible URL?,0ae5c221b9
How do I get a Pydantic object back from Gemini through the OpenAI-compatible API if `responses.parse` isn't supported?,341f71f28c
What’s the easiest way to use `chat.completions.parse` with Gemini and still get structured output instead of raw JSON?,341f71f28c
Can I define a Pydantic schema and have Gemini fill it when calling the OpenAI SDK chat completions endpoint?,341f71f28c
What does the code look like for parsing FAQ-style questions from Gemini using `response_format` in the OpenAI client?,341f71f28c
"If I'm using Gemini via `https://generativelanguage.googleapis.com/v1beta/openai/`, how do I avoid manual JSON parsing and get `result.questions` directly?",341f71f28c
"How do I install Ollama on my machine, and is the setup different for Mac, Windows, and Linux?",1d0b969028
"After installing Ollama, what command should I run to download a model and start chatting locally?",1d0b969028
How can I check that the Ollama server is actually running on my computer?,1d0b969028
"What do I need to do to use Ollama from Python, and which package should I install?",1d0b969028
Can you show a tiny Python example for sending a prompt to Ollama and printing the reply?,1d0b969028
How do I fix a connection refused error when I’m prompting my Ollama RAG setup?,c6fc2d4d11
My Ollama server seems down during the homework — what should I do to bring it back up?,c6fc2d4d11
"If I stop the notebook cell with ollama serve, do I need to run it again before continuing?",c6fc2d4d11
What’s the command to restart the Ollama server in the notebook if I get a refused connection?,c6fc2d4d11
"Why am I getting a connection refused error from Ollama, and how can I recover it quickly?",c6fc2d4d11
Why do I get a different token count from `tiktoken.encode()` than what OpenAI shows in the API response?,bf0403d21b
"When I count prompt tokens locally, why is OpenAI’s number a few tokens higher?",bf0403d21b
How many extra tokens does each chat message add in OpenAI chat completions?,bf0403d21b
What causes the small token mismatch between my visible text and OpenAI’s reported usage?,bf0403d21b
Does formatting like newlines or weird Unicode change the token count in OpenAI chat requests?,bf0403d21b
How can I stop typing my API key again in every new terminal?,8b2f5e9d04
Is there a way to auto-load my .env file when I cd into a project?,8b2f5e9d04
What should I use instead of manually exporting secrets all the time?,8b2f5e9d04
"Can I use direnv for this, or is there a better option for .env files?",8b2f5e9d04
How do I handle API keys in Codespaces or in a Python script?,8b2f5e9d04
How do I decide on field weights in minsearch or a similar search engine?,87d4ea4e08
Is there a better way than guessing when tuning search field weights?,87d4ea4e08
What’s the right process for testing different field weights for retrieval?,87d4ea4e08
How can I evaluate which weight settings work best for my search setup?,87d4ea4e08
"Should I just try field weights by trial and error, or is there a more reliable method?",87d4ea4e08
What’s the best way to clean documents before using them in RAG so retrieval actually works well?,649c280e6d
"When I prep my data for a RAG pipeline, what kinds of junk should I remove and what should I keep?",649c280e6d
"Do I need to convert my documents to JSON for RAG, or is any structured format okay?",649c280e6d
How should I chunk source files for RAG so I don’t lose important context?,649c280e6d
What metadata is worth saving when preparing documents for retrieval and ranking later?,649c280e6d
"When uv says it failed to hardlink files in GitHub Codespaces, is that actually a problem or can I ignore it?",acf8fa5356
Why does uv show a hardlink warning in Codespaces but still seem to install the package fine?,acf8fa5356
How can I stop uv from trying to hardlink files and just copy them instead in my shell?,acf8fa5356
What’s the quickest way to make the UV_LINK_MODE=copy setting stick every time I open a terminal?,acf8fa5356
Is there an official uv docs page that explains this hardlink vs copy behavior in Codespaces?,acf8fa5356
"Why do I get a ""dotenv is not recognized"" error, and what package am I supposed to install?",0bed1f48da
What should I add to my project if `dotenv` isn’t available in Python?,0bed1f48da
Which pip or uv package fixes the missing dotenv issue in this RAG module?,0bed1f48da
How do I set up environment file loading after installing the right dotenv package?,0bed1f48da
"Is `python-dotenv` the package I need here, and how do I import it correctly?",0bed1f48da
Can I do this course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally for the RAG module?",aa310de435
What do I need installed if I want to run the course on my laptop rather than in Codespaces?,aa310de435
"Do I have to use the provided environment, or is a local Python/Jupyter/Docker setup okay?",aa310de435
"If I work locally, do I need to write down how I set up my environment so I can reproduce it later?",aa310de435
"If I just keep coding in Codespaces and never commit, is my work still saved somewhere?",610ccb23c0
Does Codespaces store my files automatically in the VM even when I haven't pushed them to GitHub yet?,610ccb23c0
What happens to my changes if a Codespace gets stopped or deleted before I commit?,610ccb23c0
"Should I be committing regularly in Codespaces, or is saving inside the environment enough?",610ccb23c0
"Is my code safe in Codespaces long-term, or do I need to push it to GitHub to avoid losing it?",610ccb23c0
Why does WSL2 say the model needs more memory than is available when my PC actually has enough RAM?,f3dd94f323
How can I make WSL2 use more than the small amount of RAM it seems to have right now?,f3dd94f323
Where do I put the `.wslconfig` file on Windows to increase WSL2 memory?,f3dd94f323
What should the `.wslconfig` content look like if I want to give WSL2 8GB of RAM?,f3dd94f323
"After changing WSL2 memory settings, how do I restart it and check that the new RAM limit is active?",f3dd94f323
"My Codespace keeps hanging on ""Finishing up"" and won't open — what should I try?",830f3d2018
"If GitHub Codespaces won't reconnect, is there a quick fix before I delete it?",830f3d2018
"Why did my setup disappear after a rebuild or new Codespace, and how do I get it back?",830f3d2018
"Do files in /workspaces stay there after stopping a Codespace, or can they vanish?",830f3d2018
What’s the best way to avoid losing my work when Codespaces gets flaky?,830f3d2018
Is it okay to use a different LLM provider instead of OpenAI for this course?,c6ff9083c0
"What do I need to change in the course code if I switch to something like Groq, OpenRouter, or DeepSeek?",c6ff9083c0
Can I run the model locally with Ollama or vLLM and still use the same RAG code?,c6ff9083c0
What if the provider I want is blocked in my country — is a VPN the only workaround?,c6ff9083c0
Where can I find a list of OpenAI-compatible alternatives and local model tools for this course?,c6ff9083c0
"Why do I keep getting 429 errors in the RAG notebook, and what should I change first to stop them?",8e21752415
"Does the OpenAI client retry on its own, or do I need to add some kind of backoff for rate limits?",8e21752415
How many workers should I use in a thread pool so I don’t hit per-minute request caps while running the course?,8e21752415
What’s the best way to avoid re-calling the API every time I rerun a notebook with embeddings or LLM outputs?,8e21752415
"If I want to stay within limits for this module, is there a cheaper model or free provider I can use instead of the default OpenAI setup?",8e21752415
"What exactly counts as a tool or function in agentic RAG, and what do they usually do?",c296ea5a21
"Is there actually a difference between tools and functions in this course, or can I treat them as the same thing?",c296ea5a21
When would an LLM decide to use a tool instead of answering directly in agentic RAG?,c296ea5a21
Can you give a few simple examples of tools/functions an agentic RAG system might call?,c296ea5a21
How is tool use in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
What free AI models can I use if I need tool calling for development?,0d74a3616f
Does Groq have any models that support tool use without paying?,0d74a3616f
"Besides OpenAI, which other providers let me do tool or function calling in an agent?",0d74a3616f
"If I switch from OpenAI to Groq or Gemini, will my tool-calling code need changes?",0d74a3616f
Are there local Ollama models that can work with tools or functions?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I switch from OpenAI to another model like Mistral or Groq?,9e7b3f0c25
"Is `client.responses.create(...)` only meant for OpenAI models, or should it work with Gemini and other providers too?",9e7b3f0c25
"If I’m not using OpenAI, what should I read from the API response instead of `response.output`?",9e7b3f0c25
How can I rewrite my code to use the older chat completions flow with non-OpenAI models?,9e7b3f0c25
Do I need to change the tools format as well when I use a provider that doesn’t support the Responses API?,9e7b3f0c25
Why am I seeing Error code 400 about missing tools[0].function when I use Azure OpenAI?,b9c7c6bb34
What should the JSON for my weather tool look like so Azure OpenAI accepts it?,b9c7c6bb34
How do I fix the get_weather_tool definition if the API says the function field is missing?,b9c7c6bb34
Is there a correct function-calling schema for the weather tool in Module 1 Agentic RAG?,b9c7c6bb34
What changes do I need to make to my tool config to stop the invalid_request_error for tools[0].function?,b9c7c6bb34
"Why am I getting a 404 with toyaikit when I try Groq or another non-OpenAI model, and what should I switch to?",0224d980b3
How can I make toyaikit work with Groq using the OpenAI-compatible API instead of OpenAI’s Responses endpoint?,0224d980b3
"Is there a way to use Anthropic models with toyaikit, and which runner/client should I use?",0224d980b3
What’s the difference between the Responses runner and the chat completions runner in toyaikit for non-OpenAI providers?,0224d980b3
Do I need a special model name or setup to avoid 404s when using Claude or Groq with toyaikit?,0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub page with the questions too?",53f15299b6
Can you point me to the 2026 Module 1 homework instructions and materials?,53f15299b6
"Do I need to check GitHub for extra homework details, or is the platform enough?",53f15299b6
What’s the link for the Module 1 homework assignment and where should I submit it?,53f15299b6
Why am I getting an empty list back after filtering my query in HW Q3?,83da208a64
Could this be an indexing issue if my Module 1 homework query filter returns nothing?,83da208a64
What should I check first when my search results are empty after adding filters?,83da208a64
Do I need to set up the index before loading data for the homework query to work?,83da208a64
Why does my query only return an empty list even though the data is there?,83da208a64
"Why do I get a 402 from OpenRouter when I call responses.create(), even though my key works elsewhere?",cfb07a27d5
What should I change in responses.create() so OpenRouter stops rejecting my request before the model runs?,cfb07a27d5
"In Module 1 homework, where do I add max_output_tokens if I'm using rag_helper.py?",cfb07a27d5
How do I set the output token limit when using ToyAIKit for homework Q6?,cfb07a27d5
"If I still see this error after lowering max_output_tokens, what should I check in my .env and OpenRouter settings?",cfb07a27d5
"In the Module 1 homework, what does it actually mean to point RAG at the chunk index instead of the original docs?",b4300adeb1
"When building the search index, should I fit it on the split chunks or on the full documents?",b4300adeb1
"If I already have `documents` and `chunks`, which one should the retriever/search index use in RAG?",b4300adeb1
"Does RAG send the whole document to the model, or only the relevant chunked parts from the index?",b4300adeb1
Why does using the chunk index reduce the amount of context that gets sent to the model?,b4300adeb1
"If my homework number doesn't match an option exactly, should I still pick the nearest one?",5e4ca64cb5
Why can my answer be a little different from the multiple choice options in the homework?,5e4ca64cb5
What should I check if my result is way off from all the listed answers?,5e4ca64cb5
Do dataset version or rounding issues matter when comparing homework answers to the choices?,5e4ca64cb5
Is it okay if my numeric homework answer is close but not exactly the same as one of the options?,5e4ca64cb5
Where do I check first when a Module 1 homework task is confusing?,7d3a2e3505
"Is the course platform page enough for the homework, or should I look at GitHub too?",7d3a2e3505
What should I do if I still can’t understand a homework question after reading the instructions?,7d3a2e3505
"Do Module 1 homework tasks usually follow the lecture exactly, or do they change the dataset or wording?",7d3a2e3505
"When I ask for help in Slack, what kind of output should I paste so people can help me faster?",7d3a2e3505
How can I get token counts for the Module 1 homework when I'm using a different LLM provider?,fe8fed31e6
"If I'm not using OpenAI, where should I look for the token usage number in the response?",fe8fed31e6
"Can I still use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my model API doesn't return token usage at all?,fe8fed31e6
"For the multiple-choice homework, if my token count is approximate, should I just pick the nearest answer?",fe8fed31e6
Why is my homework repo link getting rejected with a 500 or other non-200 error when I submit it?,bcdb8740ce
Do I need to make my GitHub repo public for the checker to open it?,bcdb8740ce
Should I remove the .git part from the repo URL before submitting?,bcdb8740ce
How can I tell if the link I’m pasting is actually reachable from outside my browser login?,bcdb8740ce
What are the common mistakes that make the submission checker fail to fetch my repo URL?,bcdb8740ce
"What exactly are embeddings in vector search, and why do they matter?",69430a79a8
How do embeddings turn text or other non-numeric data into numbers without losing the meaning?,69430a79a8
Why should similar inputs produce similar vectors when using embeddings?,69430a79a8
How do embeddings help with semantic similarity or searching for related content?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How do I get rid of the warning about `multi-qa-mpnet-base-dot-v1` and sentence-transformers?,aa3f597424
I'm seeing a message that the model was made on `sentence-transformers v3.0.0 bet` — how can I suppress it?,aa3f597424
Do I need to upgrade anything to stop the `multi-qa-mpnet-base-dot-v1` warning?,aa3f597424
What should I install if I want the sentence-transformers warning to go away in Module 2?,aa3f597424
Is there a quick fix for the `model ... was made on sentence transformers v3.0.0` warning?,aa3f597424
Why did the lesson just use dot product for similarity instead of explicitly computing cosine distance?,92cd22cada
"In the homework, why do we need to normalize the vectors before using dot product for retrieval?",92cd22cada
"Are OpenAI-style embeddings already unit length, or do we still have to normalize them ourselves?",92cd22cada
What changes between the lesson example and the homework that makes cosine similarity and dot product differ?,92cd22cada
"If my vectors aren’t normalized, can I still use dot product as a similarity score?",92cd22cada
"For vector search in this module, do I need to embed just the answer text, the question text, or both together?",5c4a8d2e60
"Is there a recommended choice between embedding only `text`, only `question`, or `question + text` for search?",5c4a8d2e60
Why would embedding the question alone ever work if users search with their own wording?,5c4a8d2e60
"Does combining `question` and `text` usually improve vector search results, and is it worth the extra cost?",5c4a8d2e60
"How should I decide which embedding setup is best for my dataset: answer-only, question-only, or both?",5c4a8d2e60
How does cosine similarity measure how close two vectors are in text analysis?,db78580409
Why is cosine similarity often used for comparing documents or word vectors?,db78580409
"What does a cosine similarity score of 1, 0, or -1 actually mean?",db78580409
How is the angle between two vectors related to their similarity?,db78580409
"In vector search, what kinds of document representations are usually compared with cosine similarity?",db78580409
Why does cosine similarity become just a dot product after normalizing embeddings?,95feb4e75b
How does unit-length normalization make cosine search equivalent to matrix multiplication?,95feb4e75b
"If all vectors are normalized, why can we ignore their magnitudes in cosine similarity?",95feb4e75b
What is the reason cosine similarity can be computed with a matrix times the query vector?,95feb4e75b
"In vector search, why do normalized embeddings let us use dot products instead of the full cosine formula?",95feb4e75b
"For Module 2, do I make another GitHub repo or just spin up a new codespace from the same one?",1e829a8c6f
Why does the course say to use a separate codespace for vector search instead of reusing the Module 1 environment?,1e829a8c6f
"If I start Module 2 in Codespaces, do I still need to keep my code only there, or should I commit it somewhere?",1e829a8c6f
What exactly is the point of creating a fresh codespace for Module 2 if the repo already exists?,1e829a8c6f
"Can I delete the Module 2 codespace after finishing, and will that affect my work if I already pushed the code?",1e829a8c6f
Why is download.py stuck at 0% when it tries to get model.onnx from HuggingFace?,29b69fbe0b
Is there a way to avoid the hanging download in download.py and just add the file manually?,29b69fbe0b
What should I do if the model.onnx download never starts and stays on 0%?,29b69fbe0b
Can I open the model file in my browser and place it in the right folder so the script won't download it again?,29b69fbe0b
"Why does the HuggingFace model download freeze, and how can I make the script continue past it?",29b69fbe0b
"Why do the dot-product version and the loop version of vector search not match exactly, even though they should be the same math?",e889793af9
I compared `X.dot(v_query)` with my manual loop and `np.allclose` says false — is that a bug or just normal floating-point stuff?,e889793af9
How can two ways of calculating vector search scores give slightly different numbers in the last decimals?,e889793af9
Should I expect exact equality between BLAS-based dot products and a Python for-loop when doing vector search?,e889793af9
What’s the right way to compare scores from matrix multiplication and a loop if tiny rounding differences show up?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk in vector search?,1a7b27c4df
What usually causes the best chunk lookup to fail with an out of range error?,1a7b27c4df
How do I make sure my embeddings match the chunks so I don't get this indexing problem?,1a7b27c4df
Should I embed the full chunks list or just the chunk contents to avoid mismatched rows?,1a7b27c4df
"Why does my `X` array end up with a different size than `chunks`, and how can I fix it?",1a7b27c4df
Why is my Q2 cosine similarity not matching any of the multiple-choice answers in Module 2 homework?,eaa17a9dc6
"Do I need to use the `Embedder` from `embedder.py` for the homework, or can I use sentence-transformers instead?",eaa17a9dc6
"What embedding model is the homework expecting for Q2, and why do the lesson models give a different cosine score?",eaa17a9dc6
Am I supposed to embed the page content or the whole record when solving Q2?,eaa17a9dc6
"If my cosine similarity is a little bit off, should I worry or just choose the nearest option?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily API keys so Kestra can actually use them?",3860e5fe8b
"Do I need both the normal Gemini key and the SECRET_GEMINI_API_KEY version, or is one enough?",3860e5fe8b
"Why is Kestra asking for base64-encoded secrets, and how do I export them before starting Docker?",3860e5fe8b
"In a Kestra flow, should I reference the key as SECRET_GEMINI_API_KEY or just GEMINI_API_KEY?",3860e5fe8b
What’s the proper way to restart Kestra after exporting the API keys so the flows detect them?,3860e5fe8b
"Why does Kestra Copilot keep saying it can only help with Kestra flows, and what setting am I missing?",04440cab11
Do I need to set a different Gemini key for the Copilot than for the flows in Kestra OSS?,04440cab11
What’s the right env var name for Kestra AI Copilot — `GEMINI_API_KEY` or `SECRET_GEMINI_API_KEY`?,04440cab11
"I already have a Gemini key for my flows, so why does the Copilot still refuse to answer?",04440cab11
"Could this Copilot error be caused by a bad key, quota limit, or something in Docker Compose?",04440cab11
Why does my Kestra flow say the Gemini key is missing even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
Could the problem be my base64 encoding if the secret keeps failing in Kestra?,c8ca21af33
"Do I need to restart Kestra after exporting the API key, or is setting the env var enough?",c8ca21af33
"When using Kestra secrets, should I reference the variable as SECRET_GEMINI_API_KEY or just GEMINI_API_KEY in the flow?",c8ca21af33
Is there a better way to load the Gemini secret into Docker Compose besides exporting it in the shell?,c8ca21af33
Why can’t I just keep doing this stuff in a notebook instead of using Kestra?,193612db63
"What’s the actual point of orchestration in this module, beyond just running code?",193612db63
"When I build an AI workflow for real, what does an orchestrator handle that a notebook doesn’t?",193612db63
How does Kestra fit into the course — is it just a workflow tool or part of the AI lessons too?,193612db63
"If I switch from OpenAI to Gemini or Anthropic, do I need to rewrite the whole flow in Kestra?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only for the orchestration module?",cce328db64
"For the final project, can I skip Kestra and use Airflow, Prefect, Dagster, or just plain Python?",cce328db64
"If I already know Airflow, is it still worth doing the Kestra exercises in Module 3?",cce328db64
Can a simple Python script or notebook count for the ingestion pipeline part of the capstone?,cce328db64
"Does Kestra only work with OpenAI, or can I plug in other AI providers too?",cce328db64
"Can I use Groq or Ollama with Kestra instead of Gemini, or is it locked to one provider?",f442efe5b4
"Does Kestra work with local models like Ollama or LM Studio, and do I need a special setup?",f442efe5b4
"If I already have an OpenAI-compatible API, can I just point Kestra to its base URL?",f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the vendor-specific ones?,f442efe5b4
"Why does the course keep using Gemini if Kestra can talk to OpenAI, Anthropic, Grok, and other models too?",f442efe5b4
"Is there a way to build a Kestra flow without writing YAML at all, like some kind of no-code setup?",bfe5502c30
"If I don’t want to type code or YAML, what are the options in Kestra for creating workflows?",bfe5502c30
How does Kestra let you create a workflow from plain English instead of manually editing files?,bfe5502c30
"Can I use tools like Claude Code, Codex, or Kestra CTL to make and send flows into Kestra without using the UI?",bfe5502c30
"For someone comparing orchestration tools, when would Kestra be better than Zapier or n8n for simple automations?",bfe5502c30
"Why does ChatGPT sometimes invent Kestra YAML fields like bucket or name instead of the real ones, and how can I stop that from happening?",93a3e8b98c
"When I ask an AI to write a Kestra flow, why do the property names look valid but still fail in my version of Kestra?",93a3e8b98c
Is there a reason Kestra plugin YAML from a generic AI can be wrong even if the flow looks fine at first glance?,93a3e8b98c
How should I check AI-generated Kestra YAML so I don't use made-up properties for GCS upload or BigQuery load tasks?,93a3e8b98c
