question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
"Can I watch the live sessions on YouTube, and where do I ask questions during the stream?",489dd1c9d9,good,"The agent’s answer matches the ground truth key points: students can watch live sessions on the DataTalksClub YouTube channel, the link is posted in Telegram/Slack announcements before the session, questions should be asked via Slido pinned in chat, and questions should not be posted in the YouTube chat because they may be missed. This is a correct and complete paraphrase of the original answer.",good,"The single search query is relevant to the user’s question and includes the main concepts (live sessions, YouTube, asking questions). One search call is reasonable here, and there were no unnecessary duplicate calls. The tool use supports the final answer adequately."
"Why isn’t the Zoom URL posted for Office Hours, and who actually gets it?",489dd1c9d9,good,"The agent’s answer matches the ground truth. It correctly states that the Zoom link is only published to instructors, presenters, and TAs, and that students use YouTube Live and Slido, with the live video URL posted in Telegram/Slack announcements before the session. It omits the extra note about not posting questions in chat, but that was not essential to the core question.",good,"The search query was relevant and targeted the main terms in the question ('Zoom URL', 'Office Hours', who gets it, not posted). Only one search call was made, which is reasonable for a straightforward FAQ lookup. No unnecessary or duplicate calls were made, and the tool call supports the final answer."
"Should I put questions in the live chat during Office Hours, or is there a better place to ask them?",489dd1c9d9,good,"The agent answer matches the key point of the ground truth: students should use Slido rather than the live chat because chat questions may be missed. It also correctly mentions that the Slido link is pinned in chat when live. The added note about using Slack for general course help is not in the original answer, but it does not conflict with the main response and is plausible context. Overall, the answer contains the essential information.",good,"The search query was relevant to the question and contained important keywords like Office Hours, live chat, and questions. Only one search call was made, which is reasonable for this straightforward FAQ lookup. The tool call supported the final answer appropriately."
How do I begin the LLM Zoomcamp and what should I read first?,04919992b3,good,"The agent’s answer matches the ground truth closely. It correctly identifies the three starting resources, explains that the course can be started anytime, mentions that deadlines are on the course management platform, and gives the typical workflow for lessons and homework. This preserves the key information from the original answer. The extra offer to point to Module 1 is not in the ground truth, but it does not contradict it.",good,"The search query was relevant and included key terms from the question such as 'begin LLM Zoomcamp' and 'what should I read first'. Only one search call was made, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
Is there a recommended weekly routine for going through the course materials and homework?,04919992b3,good,"The agent answer matches the ground truth on the key points: it gives the same typical workflow steps, mentions that materials and deadlines are available in the docs/repo/course platform, and notes that homework is similar but may use a different dataset or slightly different task. It omits the explicit note that students can start whenever they want and does not include the specific links, but the core answer is correct.",good,"The single search query is relevant to the question and captures the idea of a weekly routine, though it is fairly generic and does not include course-specific keywords like LLM Zoomcamp. Since the final answer did not depend on the search results and no unnecessary duplicate calls were made, the trajectory is reasonable, though not especially strong."
"Can I start the course anytime, or is there a fixed start date with deadlines?",04919992b3,good,"The agent correctly states that you can start whenever you want and that videos/GitHub materials are available, with deadlines on the course management platform. This matches the core of the ground truth. However, it adds extra details about live cohort structure and certificates that are not present in the original answer, so it is not a perfect match but still substantively correct.",good,"The search query was relevant to the question’s topic of starting anytime versus fixed deadlines. It included key ideas like start anytime, deadlines, and self-paced/cohort structure. Only one search was made, which is reasonable, though it did not directly target the course-specific docs or platform name. Still, the tool use was appropriate and supported the final answer."
"What’s the usual order for watching lessons, doing notebooks, and submitting homework?",04919992b3,good,"The agent’s answer matches the core workflow from the ground truth: watch the lesson, work through the notebook(s), then submit the homework. It also correctly mentions that homework may use a different dataset or a slightly different task. However, it omits some important details from the original answer, such as reading the homework instructions on GitHub and submitting through the course platform before the deadline. Overall, it captures the main sequence well enough.",good,"The search query was relevant and closely matched the user’s question. Only one search call was needed, and it was reasonable for this simple FAQ-style question. There were no obvious unnecessary or duplicate tool calls."
"Does the homework follow the same pattern as the lessons, or is it different?",04919992b3,good,"The agent’s answer matches the ground truth. It correctly says the homework generally follows the lesson workflow but is not identical, and it mentions that it may use a different dataset or slightly different task. That aligns with the original answer’s key point that homework is similar to the lesson flow but with differences. It omits the detailed step-by-step workflow and course links, but those were extra context rather than the core answer to the question.",good,"The single search query was relevant and included key terms from the question ('homework', 'pattern', 'lessons', 'FAQ'). One search is reasonable for this simple informational question, and there were no unnecessary duplicate calls. The tool call supported the final answer adequately."
How do I find my row on the leaderboard if I can’t find my name?,c2903069a0,good,"The agent’s answer matches the ground truth: it says the user is assigned a random display name, instructs them to click the “Jump to your record on the leaderboard” link, and mentions the Edit Course Profile fields with the public nickname and official certificate name. This preserves the key information even though it is more concise.",good,"The search query is relevant and closely matches the user’s question. Only one search call was made, which is reasonable since the answer could be directly derived. No unnecessary or duplicate calls were made, and the tool use supports the final answer."
What name am I showing on the leaderboard by default?,c2903069a0,good,"The agent’s answer matches the ground truth key point: users are shown on the leaderboard under a random anonymous nickname by default, with an example of ""Lucid Elbakyan."" It also correctly mentions that the name can be checked/changed in Edit Course Profile. It omits some extra details about the Jump to your record link and certificate/official name, but those are not necessary to answer the question as asked.",good,The single search query was relevant to the question and used the core concept of the leaderboard default name. One search call was reasonable and there were no unnecessary duplicates. The tool call supported the final answer.
Where do I check or change the display name on my course profile?,c2903069a0,good,"The agent answer matches the ground truth well. It correctly says to go to 'Edit Course Profile' and explains that the first field is the display name/public nickname and the second is the official certificate name. It omits the extra details about the random default name and the leaderboard link, but those are not essential to answering the question.",good,"The single search query was relevant and included important keywords from the question ('display name', 'course profile', 'check change'). One search was sufficient, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
How can I get rid of the random name and use my own nickname instead?,c2903069a0,good,"The agent’s answer matches the ground truth well. It correctly explains that the random name can be replaced by editing the first field in Edit Course Profile, and that this field controls the public display name/nickname. It also correctly notes the second field is for the official certificate name. This captures the key information from the original answer.",good,"The single search query was relevant to the user’s question and included important keywords like random name, nickname, display name, and profile. Only one search was needed, and the tool use was reasonable and supported the final answer."
What do I need to enter so my certificate doesn’t say the default random name?,c2903069a0,good,"The agent answer matches the ground truth. It correctly states that the user should enter their official name in the second field in Edit Course Profile so the certificate does not show the default random name, and it also correctly distinguishes the first field as the display/leaderboard nickname. This preserves the key information from the original answer.",good,"The single search query is relevant to the question and includes the core ideas of certificate, default random name, and what to enter. One search call is reasonable for this simple FAQ-style question, and there were no unnecessary duplicate calls."
"Can I take this course at my own pace and still get a certificate, or is the certificate only for the live cohort?",69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that self-paced learners can take the course, but certificates are only available for those who complete it with a live cohort. It also includes the key reason: the peer-review/capstone process must happen while the course is actively running. This preserves the essential information from the original answer, even though it is more concise.",good,"The search query was relevant and included important keywords from the question: certificate, self-paced, live cohort, FAQ. Only one search was needed here, and it reasonably supported the final answer without unnecessary duplication."
"If I complete everything in self-paced mode, do I get any certificate at the end?",69d122f12e,good,"The agent’s answer matches the ground truth: it correctly says there is no certificate for self-paced mode and that certificates are only available for a live cohort. It also captures the peer-review requirement during the course run, which is the key reason given in the original answer. Minor wording differences do not change the meaning.",good,"The search query was relevant and included key terms from the question ('self-paced mode' and 'certificate'). Only one search call was needed, and there was no unnecessary duplication. The tool use was reasonable and supports the final answer."
Why aren’t certificates given for the self-paced version of the course?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that certificates are not given for the self-paced version, that a certificate is only available for the live cohort, and that the reason is the required peer-review of 3 capstones which can only happen while the course is actively running. This preserves the key details from the original answer.",good,"The single search query was relevant and closely matched the question’s wording. One search call is reasonable here, and there were no unnecessary or duplicate calls. The tool use supported the final answer adequately."
Do I have to be in the running cohort to do the required peer reviews for the capstone project?,69d122f12e,good,"The agent’s answer captures the key facts from the ground truth: peer reviews are only available during the live/running cohort, self-paced mode does not qualify for a certificate, and 3 capstone peer reviews are required. However, it opens with “Yes,” while the ground truth’s core answer is effectively “No” to the question of whether you have to be in the running cohort to do the required peer reviews; the wording is slightly misleading but the explanatory content is largely consistent. Overall, the substance matches the original answer closely enough.",good,"The single search query is relevant and uses important keywords from the question: running cohort, peer reviews, capstone project. One search is reasonable here, and there are no unnecessary duplicate calls. The tool use supports the final answer well."
"Is it possible to peer-review projects after the course forms are closed, or only while the course is active?",69d122f12e,good,"The agent’s answer matches the ground truth on the key point: peer-review is only possible while the course is running, and not after the forms are closed. It also mentions the peer-review list being compiled, which aligns with the original explanation. However, it omits the certificate/self-paced/live cohort detail from the original answer, though that was not strictly necessary to answer the question asked.",good,"The search query was relevant and contained the main concepts from the question (peer-review, course forms closed, course active). Only one search was used, which is reasonable for this straightforward question. The tool call supported the final answer."
"If I skipped the first homework, am I still eligible for the course certificate?",9f689c185f,good,"The agent answer matches the ground truth: it says skipping the first homework does not affect certificate eligibility, homework is not mandatory, and passing the Capstone project is required. That captures the key points from the original answer.",good,"The search query was relevant and included important keywords from the question like certificate eligibility and homework requirement. Only one search call was needed, and it was sufficient to support the final answer."
"Do I have to submit every homework to get certified, or is something else enough?",9f689c185f,good,The agent’s answer matches the ground truth. It correctly states that homework is not mandatory for certification and that passing the Capstone project is what is required. It also correctly mentions that homework points only affect leaderboard rank. This contains the key information from the original answer.,good,"The search query was relevant to the question and included important keywords like certified, homework, and FAQ. Only one search call was made, which is reasonable, and it supported the final answer. No unnecessary or duplicate tool calls were made."
What do I need to complete in order to receive the certificate if homework isn't required?,9f689c185f,good,"The agent answer matches the ground truth: it says the user must pass the Capstone project to receive the certificate, and that homework is not mandatory but recommended, with points counting toward the leaderboard. This contains all key information from the original answer.",good,"The single search query is relevant to the question and includes the key concepts of certificate and homework not required. One search call is reasonable, and there were no unnecessary or duplicate tool calls. The tool call supported the final answer."
Is the Capstone project the only thing that really matters for getting the certificate?,9f689c185f,good,"The agent’s answer matches the ground truth on the main point: passing the Capstone project is required for the certificate, and homework is not mandatory but recommended. However, it adds an extra caveat about needing to finish with the live cohort and peer review, which is not stated in the original answer. Since the core answer is correct and the added detail does not directly contradict it, this should be marked correct.",good,"The single search query is relevant and includes key concepts from the question (capstone project, certificate). Only one search call was made, which is reasonable, and there were no unnecessary duplicates. The tool call supports the final answer adequately."
"Are homework assignments mandatory, or do they just help with practice and ranking?",9f689c185f,good,"The agent answer matches the ground truth on the key points: homework is not mandatory, it is recommended for practice/reinforcement, and points contribute to leaderboard rank. It also correctly mentions passing the Capstone project is required for the certificate. This is consistent with the original answer, though the original wording about certificate requirements is a bit awkward; the agent’s phrasing is acceptable and aligned with the intended meaning.",good,"The tool call was relevant and concise. The query included the core concepts from the question: homework, mandatory, practice, and ranking. Only one search was needed, and there were no unnecessary duplicate calls."
Why does the homework content keep changing before the deadline?,96286b4be4,good,"The agent’s answer matches the ground truth. It correctly explains that homework content can change until it is finalized, and states the two readiness conditions: the homework form must be open on the course management platform and the title must not contain [DRAFT]. It also includes the warning that working on it early is at the student’s own risk because the final version may differ. This is the same key information as the original answer, even though it is paraphrased.",good,"The single search query is relevant to the question and uses the core idea of the homework changing before the deadline. While it does not explicitly include the [DRAFT] keyword, it is still a reasonable initial search. Only one tool call was made, which is appropriate here since the answer is straightforward and the final response aligns well with the expected FAQ content."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly states that [DRAFT] means the homework is not ready yet, that readiness requires both the form to be open and the title to no longer include [DRAFT], and that the content may still change so early work is at the student's own risk. No important information is missing or incorrect.",good,"The single search query was directly relevant to the question and included the key keyword [DRAFT] along with homework title meaning. One search call is reasonable and sufficient here, and there were no unnecessary or duplicate tool calls."
How can I tell if the homework is actually ready to do?,96286b4be4,good,"The agent’s answer matches the ground truth closely. It correctly states both readiness conditions: the homework form must be open and the title must not contain [DRAFT]. It also includes the warning that if [DRAFT] is present, the homework is not ready, and that working early is at the student’s own risk because the content may change. This preserves the key information from the original answer.",good,"The single search query directly asked the same question as the user, so it was relevant and contained the key keywords. One search call is reasonable here, and no unnecessary duplicate calls were made. The tool call supported the final answer."
Is it safe to start homework early if the title still says draft?,96286b4be4,good,"The agent answer matches the ground truth. It correctly says that a homework title containing [DRAFT] means it is not ready yet, that it is ready only when the form is open and the title no longer contains [DRAFT], and that working early is at the student's own risk because the final version may change.",good,"The single search query was relevant and included key concepts from the question (homework, draft, early). One search call was sufficient and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
Can the homework instructions still be updated after the form is open?,96286b4be4,good,"The agent answer matches the key points of the ground truth: homework can still change if marked [DRAFT], readiness requires both the form being open and no [DRAFT] in the title, and working early is at the student's own risk. It is slightly less complete than the original because it does not explicitly mention that the final version can be different, but the core meaning is preserved.",good,"The search query was relevant to the question and contained the main concept of homework instructions being updated after the form is open. Only one search was needed, and there were no unnecessary or duplicate tool calls. The tool use was reasonable."
When is the next time this course will be offered?,bd31146b0e,good,The agent answer matches the ground truth exactly in substance: it states the next offering is Summer 2027. No missing or conflicting information.,good,"The search query is relevant to the question and directly asks about the next offering of the course. A single search call is reasonable, and there were no unnecessary duplicate calls. The tool call supports the final answer."
Do you know when the next cohort starts for this course?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in substance: it states that the next cohort starts in Summer 2027. The extra sentence offering help is irrelevant but does not contradict the answer.,good,"The single search query was relevant to the question and reasonably targeted the cohort start date. One search call is sufficient here, and there were no unnecessary duplicate calls."
"Is there an upcoming session of the course, and if so, when?",bd31146b0e,good,"The agent correctly states that the course will be offered next in Summer 2027, which matches the ground truth. The answer includes the essential information asked for.",good,"The search query was relevant to the question and included keywords about upcoming session and timing. Only one search call was made, which is reasonable and sufficient for this simple FAQ lookup."
What’s the next scheduled offering for this course?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning and content: the next scheduled offering is Summer 2027.,good,"The single search query is relevant to the question and reasonably aimed at finding the course offering schedule. One search call is sufficient here, with no unnecessary duplication."
When can I expect this course to run again?,bd31146b0e,good,The agent's answer matches the ground truth exactly in substance: it says the course is expected to be offered again in Summer 2027.,good,"The single search query is relevant to the question and attempts to find the next offering schedule. One search call is reasonable, and no unnecessary duplicate calls were made."
Where can I find the course lectures or videos?,31456f4b5f,good,"The agent answer matches the ground truth closely. It correctly identifies the LLM Zoomcamp GitHub repository as the main entry point, notes that lesson folders contain the relevant video links at the top of each lesson page, and states that the GitHub repo is preferable to the YouTube playlist because it is easier to keep updated. This preserves the key information from the original answer.",good,"The tool call was reasonable, though somewhat generic. The search query aimed at the question intent but did not include the specific course name or repo keywords. Still, only one search was used, which is appropriate, and the final answer aligns with the expected response."
Is there a main page or repo I should open first for each lesson?,31456f4b5f,good,"The agent’s answer matches the ground truth closely: it identifies the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folder/page, notes that videos are linked at the top, and advises following the repo first because it stays updated more easily than the YouTube playlist. This preserves all key points from the original answer.",good,"The single search query is relevant to the question, though somewhat generic. It contains the main concepts ('main page', 'repo', 'lesson') and one search call is reasonable for this simple FAQ-style question. There were no unnecessary or duplicate tool calls."
How do I know which video goes with a specific lesson?,31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says to use the LLM Zoomcamp GitHub repository as the main reference, notes that each lesson page/folder has the relevant videos linked at the top, and advises following the GitHub repo over the YouTube playlist because it is easier to keep updated. This preserves the key information from the original answer.",good,"The single search query is somewhat relevant, but it is generic and does not include the specific context keywords from the question such as LLM Zoomcamp or GitHub repository. Still, only one search call was made, which is reasonable, and it did not introduce unnecessary duplication. The tool use is acceptable though not highly targeted."
Are the lesson videos linked somewhere on each lesson page?,31456f4b5f,good,The agent’s answer matches the ground truth: it says the relevant videos are linked at the top of each lesson page and recommends using the LLM Zoomcamp GitHub repository as the main entry point because it is easier to keep updated than the YouTube playlist. That captures the key information from the original answer.,good,"The search query was relevant to the question and directly targeted the phrasing from the FAQ. Only one search call was made, which is reasonable for this simple lookup, and it supported the final answer."
Should I use the GitHub repo or the YouTube playlist to follow the course updates?,31456f4b5f,good,"The agent’s answer matches the ground truth. It correctly says to use the GitHub repo as the main source for updates, notes that it is easier to keep updated than the YouTube playlist, and mentions following the GitHub repo first with videos linked from each lesson page. This contains the key information from the original answer.",good,"The search query is relevant to the question and includes key concepts like GitHub repo, YouTube playlist, course updates, and FAQ. Only one search call was needed, which is reasonable for this straightforward question. The tool call supports the final answer."
